max_features,max_depth,Mis_matches
30,16,46
30,18,38
30,20,36
30,22,33
30,24,35
30,26,33
30,28,33
30,30,35
32,16,55
32,18,37
32,20,34
32,22,33
32,24,33
32,26,33
32,28,34
32,30,31
34,16,45
34,18,42
34,20,37
34,22,36
34,24,34
34,26,32
34,28,31
34,30,33
36,16,49
36,18,41
36,20,34
36,22,38
36,24,33
36,26,32
36,28,33
36,30,30
38,16,42
38,18,40
38,20,37
38,22,33
38,24,33
38,26,35
38,28,35
38,30,33
40,16,52
40,18,42
40,20,39
40,22,33
40,24,35
40,26,32
40,28,32
40,30,31
42,16,41
42,18,46
42,20,36
42,22,35
42,24,34
42,26,32
42,28,33
42,30,32
44,16,43
44,18,38
44,20,35
44,22,35
44,24,35
44,26,34
44,28,33
44,30,33
46,16,50
46,18,38
46,20,33
46,22,33
46,24,31
46,26,34
46,28,34
46,30,32
48,16,49
48,18,37
48,20,35
48,22,36
48,24,32
48,26,33
48,28,37
48,30,32
50,16,50
50,18,37
50,20,37
50,22,33
50,24,33
50,26,31
50,28,33
50,30,34
52,16,49
52,18,40
52,20,37
52,22,37
52,24,39
52,26,32
52,28,33
52,30,33
54,16,50
54,18,44
54,20,31
54,22,33
54,24,31
54,26,35
54,28,33
54,30,31
56,16,44
56,18,40
56,20,37
56,22,37
56,24,31
56,26,33
56,28,32
56,30,33
58,16,53
58,18,45
58,20,35
58,22,33
58,24,32
58,26,33
58,28,34
58,30,35
60,16,45
60,18,42
60,20,34
60,22,35
60,24,32
60,26,36
60,28,34
60,30,35
62,16,49
62,18,39
62,20,40
62,22,31
62,24,34
62,26,32
62,28,33
62,30,31
64,16,46
64,18,40
64,20,37
64,22,41
64,24,34
64,26,37
64,28,36
64,30,34
66,16,48
66,18,37
66,20,38
66,22,32
66,24,34
66,26,33
66,28,35
66,30,36
68,16,44
68,18,41
68,20,34
68,22,35
68,24,32
68,26,33
68,28,35
68,30,35
70,16,48
70,18,41
70,20,38
70,22,35
70,24,35
70,26,31
70,28,33
70,30,35
72,16,53
72,18,41
72,20,32
72,22,38
72,24,34
72,26,33
72,28,32
72,30,35
74,16,44
74,18,37
74,20,35
74,22,35
74,24,37
74,26,31
74,28,31
74,30,36
76,16,50
76,18,41
76,20,32
76,22,38
76,24,32
76,26,32
76,28,32
76,30,33
78,16,47
78,18,47
78,20,44
78,22,36
78,24,33
78,26,37
78,28,35
78,30,34
80,16,50
80,18,36
80,20,35
80,22,35
80,24,31
80,26,34
80,28,32
80,30,33
82,16,52
82,18,46
82,20,36
82,22,35
82,24,35
82,26,33
82,28,33
82,30,36
84,16,47
84,18,42
84,20,36
84,22,35
84,24,31
84,26,32
84,28,32
84,30,34
86,16,52
86,18,43
86,20,41
86,22,35
86,24,35
86,26,35
86,28,33
86,30,31
88,16,47
88,18,43
88,20,39
88,22,37
88,24,33
88,26,32
88,28,33
88,30,31
90,16,45
90,18,35
90,20,38
90,22,36
90,24,34
90,26,33
90,28,38
90,30,38
92,16,46
92,18,41
92,20,36
92,22,34
92,24,33
92,26,35
92,28,33
92,30,32
94,16,46
94,18,44
94,20,33
94,22,37
94,24,37
94,26,36
94,28,37
94,30,32
96,16,44
96,18,36
96,20,39
96,22,34
96,24,32
96,26,33
96,28,32
96,30,34
98,16,41
98,18,45
98,20,36
98,22,37
98,24,35
98,26,34
98,28,32
98,30,34
100,16,49
100,18,44
100,20,41
100,22,35
100,24,33
100,26,34
100,28,39
100,30,37
102,16,45
102,18,43
102,20,42
102,22,36
102,24,37
102,26,35
102,28,35
102,30,37
104,16,50
104,18,45
104,20,39
104,22,39
104,24,34
104,26,34
104,28,33
104,30,33
106,16,54
106,18,40
106,20,33
106,22,33
106,24,34
106,26,32
106,28,34
106,30,31
108,16,46
108,18,45
108,20,42
108,22,34
108,24,37
108,26,30
108,28,33
108,30,34
110,16,45
110,18,41
110,20,35
110,22,33
110,24,34
110,26,33
110,28,34
110,30,34
112,16,53
112,18,42
112,20,33
112,22,36
112,24,33
112,26,35
112,28,33
112,30,32
114,16,53
114,18,35
114,20,41
114,22,37
114,24,34
114,26,33
114,28,36
114,30,33
116,16,48
116,18,43
116,20,38
116,22,37
116,24,36
116,26,35
116,28,36
116,30,34
118,16,53
118,18,38
118,20,39
118,22,35
118,24,37
118,26,36
118,28,35
118,30,32
120,16,46
120,18,43
120,20,36
120,22,38
120,24,35
120,26,33
120,28,33
120,30,36
122,16,56
122,18,42
122,20,39
122,22,36
122,24,34
122,26,36
122,28,35
122,30,32
124,16,46
124,18,38
124,20,37
124,22,37
124,24,35
124,26,31
124,28,33
124,30,33
126,16,50
126,18,42
126,20,38
126,22,43
126,24,35
126,26,35
126,28,32
126,30,34
128,16,41
128,18,40
128,20,36
128,22,39
128,24,36
128,26,33
128,28,31
128,30,32
130,16,51
130,18,40
130,20,38
130,22,34
130,24,34
130,26,35
130,28,35
130,30,34
132,16,54
132,18,42
132,20,43
132,22,34
132,24,37
132,26,32
132,28,32
132,30,33
