max_features,max_depth,Mis_matches
16,16,182
16,18,161
16,20,166
16,22,156
16,24,156
16,26,159
16,28,157
16,30,151
18,16,179
18,18,159
18,20,151
18,22,155
18,24,152
18,26,150
18,28,154
18,30,151
20,16,156
20,18,151
20,20,149
20,22,144
20,24,153
20,26,144
20,28,150
20,30,148
22,16,162
22,18,149
22,20,150
22,22,150
22,24,151
22,26,148
22,28,144
22,30,147
24,16,171
24,18,157
24,20,146
24,22,144
24,24,149
24,26,149
24,28,147
24,30,145
26,16,165
26,18,149
26,20,149
26,22,145
26,24,145
26,26,145
26,28,144
26,30,142
28,16,152
28,18,144
28,20,140
28,22,142
28,24,144
28,26,140
28,28,143
28,30,141
30,16,158
30,18,145
30,20,147
30,22,143
30,24,143
30,26,145
30,28,145
30,30,139
